county,state,cases,population,num_physicians,phys_per_cap
Macon,Missouri,3,15117,5,3.307534563736191e-4
Madison,Missouri,0,12088,5,4.1363335539377897e-4
Maries,Missouri,1,8697,1,1.1498217776244682e-4
Marion,Missouri,1,28530,26,9.113214160532772e-4
Mercer,Missouri,0,3617,1,2.764722145424385e-4
Miller,Missouri,0,25619,7,2.7323470861470003e-4
Mississippi,Missouri,0,13180,2,1.5174506828528073e-4
Moniteau,Missouri,2,16132,2,1.239771881973717e-4
Monroe,Missouri,0,8644,3,3.4706154558074965e-4
Montgomery,Missouri,2,11551,2,1.731451822353043e-4
Morgan,Missouri,1,20627,4,1.9392058951859213e-4
New Madrid,Missouri,0,17076,1,5.856172405715624e-5
Newton,Missouri,5,58236,NA,NA
Nodaway,Missouri,0,22092,12,5.431830526887561e-4
Oregon,Missouri,0,10529,1,9.497578117580017e-5
Osage,Missouri,1,13615,2,1.4689680499449138e-4
Ozark,Missouri,0,9174,2,2.1800741225201656e-4
Pemiscot,Missouri,2,15805,4,2.530844669408415e-4
Perry,Missouri,14,19136,9,4.703177257525084e-4
Pettis,Missouri,1,42339,22,5.196154845414394e-4
Phelps,Missouri,0,44573,43,9.647095775469455e-4
Pike,Missouri,1,18302,6,3.278330237132554e-4
Platte,Missouri,9,104418,82,7.853052155758585e-4
Polk,Missouri,0,32149,25,7.776291642041743e-4
Pulaski,Missouri,7,52607,21,3.991864200581672e-4
Putnam,Missouri,0,4696,3,6.388415672913117e-4
Ralls,Missouri,1,10309,2,1.9400523814142983e-4
Randolph,Missouri,2,24748,11,4.4448036204945853e-4
Ray,Missouri,1,23018,8,3.4755408810496134e-4
Reynolds,Missouri,2,6270,3,4.784688995215311e-4
Ripley,Missouri,2,13288,6,4.515352197471403e-4
St Charles,Missouri,0,402022,NA,NA
St Clair,Missouri,0,9397,NA,NA
Ste Genevieve,Missouri,0,17894,NA,NA
St Francois,Missouri,0,67215,NA,NA
St Louis,Missouri,0,994205,NA,NA
Saline,Missouri,0,22761,13,5.711524098238215e-4
Schuyler,Missouri,0,4660,3,6.437768240343348e-4
Scotland,Missouri,0,4902,6,0.0012239902080783353
Scott,Missouri,6,38280,19,4.96342737722048e-4
Shannon,Missouri,0,8166,1,1.224589762429586e-4
Shelby,Missouri,1,5930,1,1.6863406408094435e-4
Stoddard,Missouri,3,29025,11,3.789836347975883e-4
Stone,Missouri,1,31952,11,3.442663995993991e-4
Sullivan,Missouri,0,6089,2,3.2846115946789294e-4
Taney,Missouri,2,55928,43,7.688456587040481e-4
Texas,Missouri,0,25398,9,3.5435861091424523e-4
Vernon,Missouri,0,20563,8,3.890482906190731e-4
Warren,Missouri,5,35649,6,1.6830766641420518e-4
Washington,Missouri,0,24730,8,3.2349373230893653e-4
Wayne,Missouri,0,12873,4,3.107278800590383e-4
Webster,Missouri,2,39592,10,2.525762780359669e-4
Worth,Missouri,0,2013,1,4.967709885742673e-4
Wright,Missouri,4,18289,3,1.6403302531576357e-4
St Louis city,Missouri,0,300576,NA,NA
Beaverhead,Montana,0,9453,13,0.0013752247963609435
Big Horn,Montana,0,13319,9,6.757264058863278e-4
Blaine,Montana,0,6681,4,5.98712767549768e-4
Broadwater,Montana,3,6237,2,3.20666987333654e-4
Carbon,Montana,0,10725,5,4.662004662004662e-4
Carter,Montana,0,1252,0,0
Cascade,Montana,9,81366,56,6.882481626232088e-4
Chouteau,Montana,0,5635,1,1.774622892635315e-4
Custer,Montana,0,11402,11,9.647430275390282e-4
Daniels,Montana,0,1690,0,0
Dawson,Montana,0,8613,4,4.644142575177058e-4
Deer Lodge,Montana,3,9140,12,0.001312910284463895
Fallon,Montana,0,2846,2,7.027406886858749e-4
Fergus,Montana,0,11050,8,7.239819004524887e-4
Flathead,Montana,11,103806,90,8.670019074041963e-4
Gallatin,Montana,74,114434,88,7.69002219620043e-4
Garfield,Montana,0,1258,0,0
Glacier,Montana,0,13753,11,7.998254926197921e-4
Golden Valley,Montana,0,821,1,0.001218026796589525
Granite,Montana,0,3379,1,2.959455460195324e-4
Hill,Montana,1,16484,10,6.066488716330988e-4
Jefferson,Montana,2,12221,9,7.364372800916456e-4
Judith Basin,Montana,0,2007,0,0
Lake,Montana,3,30458,21,6.894740298115438e-4
Lewis and Clark,Montana,12,69432,63,9.073625993778086e-4
Liberty,Montana,1,2337,1,4.278990158322636e-4
Lincoln,Montana,5,19980,15,7.507507507507507e-4
McCone,Montana,0,1664,0,0
Madison,Montana,6,8600,7,8.139534883720931e-4
Meagher,Montana,1,1862,2,0.0010741138560687433
Mineral,Montana,0,4397,2,4.5485558335228563e-4
Missoula,Montana,14,119600,120,0.001003344481605351
Musselshell,Montana,1,4633,1,2.158428663932657e-4
Park,Montana,3,16606,22,0.0013248223533662532
Petroleum,Montana,0,487,0,0
Phillips,Montana,0,3954,1,2.5290844714213456e-4
Pondera,Montana,0,5911,3,5.075283369988157e-4
Powder River,Montana,0,1682,0,0
Powell,Montana,0,6890,4,5.805515239477503e-4
Prairie,Montana,0,1077,0,0
Ravalli,Montana,1,43806,26,5.935260010044286e-4
Richland,Montana,0,10803,5,4.628343978524484e-4
Roosevelt,Montana,1,11004,4,3.635041802980734e-4
Rosebud,Montana,0,8937,5,5.594718585655141e-4
Sanders,Montana,0,12113,9,7.430033847931974e-4
Sheridan,Montana,0,3309,2,6.044122091266244e-4
Silver Bow,Montana,10,34915,25,7.160246312473149e-4
Stillwater,Montana,0,9642,2,2.0742584526031943e-4
Sweet Grass,Montana,0,3737,2,5.351886540005352e-4
Teton,Montana,0,6147,1,1.6268098259313488e-4
Toole,Montana,6,4736,2,4.222972972972973e-4
Treasure,Montana,0,696,0,0
Valley,Montana,0,7396,5,6.760411032990806e-4
Wheatland,Montana,0,2126,1,4.7036688617121356e-4
Wibaux,Montana,0,969,0,0
Yellowstone,Montana,31,161300,156,9.671419714817111e-4
Adams,Nebraska,3,31363,28,8.927717373975704e-4
Antelope,Nebraska,1,6298,3,4.76341695776437e-4
Arthur,Nebraska,0,463,0,0
Banner,Nebraska,0,745,0,0
Blaine,Nebraska,0,465,0,0
Boone,Nebraska,0,5192,8,0.0015408320493066256
Box Butte,Nebraska,0,10783,5,4.636928498562552e-4
Boyd,Nebraska,0,1919,3,0.001563314226159458
Brown,Nebraska,0,2955,3,0.0010152284263959391
Buffalo,Nebraska,6,49659,45,9.061801486135444e-4
Burt,Nebraska,0,6459,3,4.6446818392940084e-4
Butler,Nebraska,0,8016,8,9.98003992015968e-4
Cass,Nebraska,2,26248,8,3.0478512648582747e-4
Cedar,Nebraska,0,8402,1,1.1901928112354201e-4
Chase,Nebraska,0,3924,1,2.5484199796126404e-4
Cherry,Nebraska,0,5689,4,7.031112673580594e-4
Cheyenne,Nebraska,0,8910,6,6.734006734006734e-4
Clay,Nebraska,0,6203,2,3.2242463324197966e-4
Colfax,Nebraska,0,10709,1,9.337940050424876e-5
Cuming,Nebraska,0,8846,4,4.521817770743839e-4
Custer,Nebraska,0,10777,6,5.567412081284216e-4
Dakota,Nebraska,0,20026,2,9.987016878058524e-5
Dawes,Nebraska,0,8589,7,8.149959250203749e-4
Dawson,Nebraska,1,23595,14,5.933460478915024e-4
Deuel,Nebraska,0,1794,0,0
Dixon,Nebraska,0,5636,2,3.5486160397445e-4
Dodge,Nebraska,3,36565,25,6.837139340899768e-4
Douglas,Nebraska,113,571327,615,0.0010764413374477312
Dundy,Nebraska,0,1693,1,5.906674542232723e-4
Fillmore,Nebraska,0,5462,4,7.323324789454412e-4
Franklin,Nebraska,0,2979,2,6.71366230278617e-4
Frontier,Nebraska,0,2627,1,3.8066235249333843e-4
Furnas,Nebraska,0,4676,3,6.415739948674081e-4
Gage,Nebraska,0,21513,17,7.902198670571282e-4
Garden,Nebraska,0,1837,0,0
Garfield,Nebraska,0,1969,1,5.078720162519045e-4
Gosper,Nebraska,1,1990,1,5.025125628140704e-4
Grant,Nebraska,0,623,0,0
Greeley,Nebraska,0,2356,1,4.2444821731748726e-4
Hall,Nebraska,9,61353,39,6.356657376167424e-4
Hamilton,Nebraska,0,9324,9,9.652509652509653e-4
Harlan,Nebraska,0,3380,3,8.875739644970414e-4
Hayes,Nebraska,0,922,0,0
Hitchcock,Nebraska,0,2762,1,3.620564808110065e-4
Holt,Nebraska,0,10067,11,0.0010926790503625707
Hooker,Nebraska,0,682,2,0.002932551319648094
Howard,Nebraska,0,6445,3,4.6547711404189296e-4
Jefferson,Nebraska,0,7046,5,7.09622480840193e-4
Johnson,Nebraska,0,5071,2,3.9439952672056796e-4
Kearney,Nebraska,1,6495,3,4.6189376443418013e-4
Keith,Nebraska,0,8034,6,7.468259895444362e-4
Keya Paha,Nebraska,0,806,0,0
Kimball,Nebraska,1,3632,1,2.7533039647577095e-4
Knox,Nebraska,2,8332,4,4.8007681228996637e-4
Lancaster,Nebraska,8,319090,212,6.64389357234636e-4
Lincoln,Nebraska,5,34914,19,5.441943060090508e-4
Logan,Nebraska,0,748,0,0
Loup,Nebraska,0,664,0,0
McPherson,Nebraska,0,494,0,0
Madison,Nebraska,2,35099,24,6.837801646770563e-4
Merrick,Nebraska,0,7755,2,2.578981302385558e-4
Morrill,Nebraska,0,4642,1,2.1542438604049978e-4
Nance,Nebraska,0,3519,1,2.841716396703609e-4
Nemaha,Nebraska,1,6972,5,7.17154331612163e-4
Nuckolls,Nebraska,0,4148,5,0.0012054001928640309
Otoe,Nebraska,0,16012,10,6.245316012990258e-4
Pawnee,Nebraska,0,2613,2,7.654037504783774e-4
Perkins,Nebraska,0,2891,3,0.0010377032168799724
Phelps,Nebraska,0,9034,7,7.748505645339827e-4
Pierce,Nebraska,0,7148,6,8.393956351426973e-4
Platte,Nebraska,1,33470,24,7.17060053779504e-4
Polk,Nebraska,0,5213,2,3.836562440053712e-4
Red Willow,Nebraska,0,10724,7,6.527415143603133e-4
Richardson,Nebraska,0,7865,3,3.814367450731087e-4
Rock,Nebraska,0,1357,0,0
Saline,Nebraska,0,14224,7,4.921259842519685e-4
Sarpy,Nebraska,16,187196,95,5.074894762708605e-4
Saunders,Nebraska,2,21578,8,3.707479840578367e-4
Scotts Bluff,Nebraska,1,35618,29,8.141950699084732e-4
Seward,Nebraska,0,17284,10,5.785697755149271e-4
Sheridan,Nebraska,0,5246,3,5.71864277544796e-4
Sherman,Nebraska,0,3001,1,3.332222592469177e-4
Sioux,Nebraska,0,1166,1,8.576329331046312e-4
Stanton,Nebraska,0,5920,1,1.6891891891891893e-4
Thayer,Nebraska,0,5003,5,9.994003597841295e-4
Thomas,Nebraska,0,722,0,0
Thurston,Nebraska,0,7224,4,5.537098560354374e-4
Valley,Nebraska,0,4158,6,0.001443001443001443
Washington,Nebraska,19,20729,10,4.824159390226253e-4
Wayne,Nebraska,0,9385,5,5.327650506126798e-4
Webster,Nebraska,0,3487,4,0.0011471178663607685
Wheeler,Nebraska,0,783,0,0
York,Nebraska,1,13679,11,8.041523503180057e-4
Churchill,Nevada,0,24909,13,5.218997149624634e-4
Clark,Nevada,869,2266715,1,4.411670633493845e-7
Douglas,Nevada,5,48905,28,5.725385952356609e-4
Elko,Nevada,5,52778,19,3.599984842169086e-4
Esmeralda,Nevada,0,873,1,0.001145475372279496
Eureka,Nevada,0,2029,1,4.928536224741252e-4
Humboldt,Nevada,3,16831,8,4.753134097795734e-4
Lander,Nevada,0,5532,1,1.8076644974692697e-4
Lincoln,Nevada,0,5183,2,3.8587690526721975e-4
Lyon,Nevada,1,57510,9,1.5649452269170578e-4
Mineral,Nevada,0,4505,2,4.439511653718091e-4
Nye,Nevada,1,46523,13,2.794316789544956e-4
Pershing,Nevada,0,6725,1,1.4869888475836432e-4
Storey,Nevada,0,4123,1,2.4254183846713557e-4
Washoe,Nevada,121,471519,340,7.210738061456697e-4
White Pine,Nevada,0,9580,6,6.263048016701461e-4
Carson City,Nevada,5,55916,42,7.511266900350526e-4
Belknap,New Hampshire,12,61303,39,6.361841997944636e-4
Carroll,New Hampshire,12,48910,44,8.99611531384175e-4
Cheshire,New Hampshire,4,76085,52,6.834461457580338e-4
Coos,New Hampshire,0,31563,36,0.0011405759908753922
Grafton,New Hampshire,35,89886,176,0.0019580357341521483
Hillsborough,New Hampshire,108,417025,361,8.656555362388346e-4
Merrimack,New Hampshire,27,151391,165,0.00108989305837203
Rockingham,New Hampshire,137,309769,232,7.48945181732194e-4
Strafford,New Hampshire,28,130633,82,6.277127525204198e-4
Sullivan,New Hampshire,4,43146,32,7.416678255226441e-4
Atlantic,New Jersey,31,263670,227,8.609246406492964e-4
Bergen,New Jersey,2909,932202,1,1.0727288720685002e-6
Burlington,New Jersey,202,445349,377,8.465271057081075e-4
Camden,New Jersey,228,506471,526,0.0010385589698126843
Cape May,New Jersey,15,92039,55,5.975727680657113e-4
Cumberland,New Jersey,18,149527,66,4.4139185565148767e-4
Essex,New Jersey,1900,798975,675,8.448324415657561e-4
Gloucester,New Jersey,114,291636,158,5.41771249091333e-4
Hudson,New Jersey,1606,672391,354,5.264793847627347e-4
Hunterdon,New Jersey,97,124371,151,0.001214109398493218
Mercer,New Jersey,268,367430,378,0.0010287673842636694
Middlesex,New Jersey,1277,825062,778,9.429594381997959e-4
Monmouth,New Jersey,1140,618795,729,0.0011780961384626574
Morris,New Jersey,841,491845,513,0.0010430115178562353
Ocean,New Jersey,1022,607186,263,4.331456917649616e-4
Passaic,New Jersey,1294,501826,291,5.798822699501421e-4
Salem,New Jersey,12,62385,21,3.3661937965857175e-4
Somerset,New Jersey,413,328934,389,0.0011826080611916068
Sussex,New Jersey,132,140488,70,4.98263196856671e-4
Union,New Jersey,1418,556341,374,6.722495735529109e-4
Warren,New Jersey,76,105267,63,5.984781555473225e-4
Bernalillo,New Mexico,129,679121,698,0.0010277991698092093
Catron,New Mexico,0,3527,3,8.505812305075135e-4
Chaves,New Mexico,10,64615,44,6.809564342644896e-4
Cibola,New Mexico,2,26675,14,5.248359887535145e-4
Colfax,New Mexico,0,11941,5,4.187253998827569e-4
Curry,New Mexico,3,48954,24,4.902561588429955e-4
De Baca,New Mexico,0,1748,1,5.720823798627002e-4
Doña Ana,New Mexico,18,218195,NA,NA
Eddy,New Mexico,4,58460,19,3.250085528566541e-4
Grant,New Mexico,0,26998,23,8.519149566634565e-4
Guadalupe,New Mexico,0,4300,2,4.6511627906976747e-4
Harding,New Mexico,0,625,0,0
Hidalgo,New Mexico,0,4198,1,2.3820867079561695e-4
Lea,New Mexico,2,71070,24,3.376952300548755e-4
Lincoln,New Mexico,0,19572,13,6.642141835274882e-4
Los Alamos,New Mexico,0,19369,NA,NA
Luna,New Mexico,0,23709,9,3.796026825256232e-4
McKinley,New Mexico,16,71367,57,7.986884694606751e-4
Mora,New Mexico,0,4521,1,2.2119000221190003e-4
Otero,New Mexico,0,67490,28,4.1487627796710626e-4
Quay,New Mexico,0,8253,3,3.635041802980734e-4
Rio Arriba,New Mexico,4,38921,16,4.1108912926183806e-4
Roosevelt,New Mexico,1,18500,7,3.783783783783784e-4
Sandoval,New Mexico,29,146748,87,5.928530542153896e-4
San Juan,New Mexico,32,123958,71,5.72774649478049e-4
San Miguel,New Mexico,1,27277,16,5.865747699527074e-4
Santa Fe,New Mexico,42,150358,167,0.0011106825044227776
Sierra,New Mexico,0,10791,4,3.706792697618386e-4
Socorro,New Mexico,3,16637,7,4.2074893310091964e-4
Taos,New Mexico,11,32723,29,8.862268129450234e-4
Torrance,New Mexico,3,15461,1,6.467886941336265e-5
Union,New Mexico,0,4059,1,2.463661000246366e-4
Valencia,New Mexico,5,76688,24,3.1295639474233255e-4
Albany,New York,226,305506,311,0.001017983280197443
Allegany,New York,7,46091,20,4.339241934434054e-4
Bronx,New York,0,1418207,832,5.866562497576165e-4
Broome,New York,38,190488,159,8.3469824870858e-4
Cattaraugus,New York,6,76117,36,4.729561070457322e-4
Cayuga,New York,3,76576,21,2.7423735896364395e-4
Chautauqua,New York,6,126903,69,5.437223706295359e-4
Chemung,New York,20,83456,65,7.788535276073619e-4
Chenango,New York,19,47207,18,3.8129938356599655e-4
Clinton,New York,21,80485,56,6.95781822699882e-4
Columbia,New York,36,59461,30,5.045323825700879e-4
Cortland,New York,8,47581,20,4.203358483428259e-4
Delaware,New York,16,44135,14,3.1720856463124506e-4
Dutchess,New York,484,294218,202,6.865657437682262e-4
Erie,New York,438,918702,740,8.054842593136839e-4
Essex,New York,5,36885,16,4.337806696489088e-4
Franklin,New York,9,50022,30,5.997361161089121e-4
Fulton,New York,1,53383,21,3.9338366146526047e-4
Genesee,New York,10,57280,18,3.142458100558659e-4
Greene,New York,16,47188,17,3.602610833262694e-4
Hamilton,New York,2,4416,1,2.2644927536231884e-4
Herkimer,New York,12,61319,20,3.2616317943867315e-4
Jefferson,New York,12,109834,58,5.280696323542801e-4
Kings,New York,0,2559903,1,3.9063980158623195e-7
Lewis,New York,2,26296,17,6.464861575905081e-4
Livingston,New York,13,62914,27,4.2915726229456085e-4
Madison,New York,41,70941,40,5.638488321281065e-4
Monroe,New York,300,741770,771,0.0010394057457163272
Montgomery,New York,7,49221,26,5.282298206050263e-4
Nassau,New York,8544,1356924,1,7.36960949913186e-7
New York,New York,0,1628706,1,6.139843532227425e-7
Niagara,New York,42,209281,93,4.4437861057621095e-4
Oneida,New York,40,228671,166,7.259337651035767e-4
Onondaga,New York,194,460528,439,9.532536566723413e-4
Ontario,New York,22,109777,88,8.016251127285315e-4
Orange,New York,1560,384940,272,7.066036265392009e-4
Orleans,New York,6,40352,3,7.434575733544805e-5
Oswego,New York,15,117124,48,4.0982206891841124e-4
Otsego,New York,18,59493,69,0.0011598003126418233
Putnam,New York,186,98320,49,4.983726606997559e-4
Queens,New York,0,2253858,1,4.4368367483665785e-7
Rensselaer,New York,55,158714,78,4.914500296130146e-4
Richmond,New York,0,476143,466,9.78697576148342e-4
Rockland,New York,2863,325789,292,8.962856327254757e-4
St Lawrence,New York,0,107740,NA,NA
Saratoga,New York,108,229863,153,6.656138656504091e-4
Schenectady,New York,85,155299,128,8.242165113748318e-4
Schoharie,New York,6,30999,8,2.58072841059389e-4
Schuyler,New York,2,17807,11,6.177345987532992e-4
Seneca,New York,2,34016,8,2.3518344308560678e-4
Steuben,New York,24,95379,58,6.081003155830948e-4
Suffolk,New York,6713,1476601,1,6.772310190769206e-7
Sullivan,New York,109,75432,27,3.579382755329303e-4
Tioga,New York,7,48203,14,2.9043835445926604e-4
Tompkins,New York,66,102180,88,8.612252887062047e-4
Ulster,New York,215,177573,129,7.264617931780169e-4
Warren,New York,18,63944,78,0.0012198173401726511
Washington,New York,10,61204,20,3.2677602771060717e-4
Wayne,New York,19,89918,26,2.8915233879757115e-4
Westchester,New York,9967,967506,1,1.0335853214346992e-6
Wyoming,New York,9,39859,15,3.763265510926014e-4
Yates,New York,0,24913,11,4.41536547184201e-4
Alamance,North Carolina,7,169509,75,4.424543829531175e-4
Alexander,North Carolina,2,37497,9,2.400192015361229e-4
Alleghany,North Carolina,2,11137,12,0.0010774894495824729
Anson,North Carolina,1,24446,12,4.908778532275219e-4
Ashe,North Carolina,0,27203,12,4.4112781678491345e-4
Avery,North Carolina,0,17557,5,2.8478669476562056e-4
Beaufort,North Carolina,4,46994,24,5.107034940630719e-4
Bertie,North Carolina,6,18947,3,1.5833641209690187e-4
Bladen,North Carolina,0,32722,7,2.1392335431819572e-4
Brunswick,North Carolina,14,142820,63,4.4111468981935305e-4
Buncombe,North Carolina,22,261191,370,0.001416587860990616
Burke,North Carolina,5,90485,48,5.304746643090015e-4
Cabarrus,North Carolina,47,216453,180,8.31589305761528e-4
Caldwell,North Carolina,3,82178,39,4.7457957117476697e-4
Camden,North Carolina,0,10867,2,1.8404343425048312e-4
Carteret,North Carolina,12,69473,52,7.484922199991363e-4
Caswell,North Carolina,1,22604,4,1.7695983011856308e-4
Catawba,North Carolina,15,159551,105,6.580967841003817e-4
Chatham,North Carolina,17,74470,68,9.131193769303075e-4
Cherokee,North Carolina,8,28612,10,3.4950370473927023e-4
Chowan,North Carolina,0,13943,12,8.606469196012336e-4
Clay,North Carolina,1,11231,6,5.342355978986733e-4
Cleveland,North Carolina,6,97947,51,5.206897607889982e-4
Columbus,North Carolina,2,55508,21,3.7832384521150107e-4
Craven,North Carolina,6,102139,71,6.951311448124615e-4
Cumberland,North Carolina,18,335509,250,7.451364941029898e-4
Currituck,North Carolina,1,27763,7,2.5213413536001155e-4
Dare,North Carolina,0,37009,23,6.214704531330217e-4
Davidson,North Carolina,23,167609,42,2.505832025726542e-4
Davie,North Carolina,11,42846,17,3.967698268216403e-4
Duplin,North Carolina,1,58741,14,2.383343831395448e-4
Durham,North Carolina,122,321488,384,0.0011944458269048924
Edgecombe,North Carolina,3,51472,18,3.4970469381411255e-4
Forsyth,North Carolina,42,382295,422,0.0011038595848755542
Franklin,North Carolina,11,69685,6,8.61017435603071e-5
Gaston,North Carolina,29,224529,134,5.968048670773041e-4
Gates,North Carolina,0,11562,1,8.64902266043937e-5
Graham,North Carolina,0,8441,2,2.3693875133278048e-4
Granville,North Carolina,9,60443,27,4.4670185133100605e-4
Greene,North Carolina,3,21069,3,1.4238929232521716e-4
Guilford,North Carolina,52,537174,419,7.800079676231538e-4
Halifax,North Carolina,4,50010,27,5.398920215956809e-4
Harnett,North Carolina,18,135976,37,2.721068423839501e-4
Haywood,North Carolina,0,62317,46,7.381613363929586e-4
Henderson,North Carolina,18,117417,104,8.857320490218623e-4
Hertford,North Carolina,4,23677,16,6.757612873252523e-4
Hoke,North Carolina,4,55234,12,2.1725748633088314e-4
Hyde,North Carolina,0,4937,1,2.0255215718047398e-4
Iredell,North Carolina,25,181806,133,7.315490137839235e-4
Jackson,North Carolina,1,43938,40,9.103737084073012e-4
Johnston,North Carolina,15,209339,55,2.6273174133821216e-4
Jones,North Carolina,0,9419,4,4.2467353222210426e-4
Lee,North Carolina,2,61779,30,4.8560190355946195e-4
Lenoir,North Carolina,3,55949,26,4.6470893134819213e-4
Lincoln,North Carolina,4,86111,39,4.529038101984648e-4
McDowell,North Carolina,7,45756,13,2.841157443832503e-4
Macon,North Carolina,0,35858,25,6.971944893747559e-4
Madison,North Carolina,0,21755,13,5.975637784417376e-4
Martin,North Carolina,2,22440,10,4.45632798573975e-4
Mecklenburg,North Carolina,420,1110356,940,8.465753325960322e-4
Mitchell,North Carolina,0,14964,9,6.014434643143544e-4
Montgomery,North Carolina,6,27173,7,2.5760865565082984e-4
Moore,North Carolina,8,100880,109,0.0010804916732751785
Nash,North Carolina,9,94298,53,5.620479755668201e-4
New Hanover,North Carolina,28,234473,213,9.084201592507452e-4
Northampton,North Carolina,30,19483,1,5.132679772109018e-5
Onslow,North Carolina,7,197938,64,3.2333356909739413e-4
Orange,North Carolina,35,148476,272,0.0018319459037150784
Pamlico,North Carolina,1,12726,6,4.714757190004715e-4
Pasquotank,North Carolina,4,39824,27,6.779831257533146e-4
Pender,North Carolina,0,63060,17,2.6958452267681574e-4
Perquimans,North Carolina,1,13463,1,7.427764985515858e-5
Person,North Carolina,2,39490,15,3.7984299822739937e-4
Pitt,North Carolina,27,180742,190,0.0010512221841077337
Polk,North Carolina,3,20724,11,5.307855626326964e-4
Randolph,North Carolina,17,143667,66,4.5939568585687734e-4
Richmond,North Carolina,1,44829,13,2.8999085413460035e-4
Robeson,North Carolina,3,130625,51,3.904306220095694e-4
Rockingham,North Carolina,1,91010,34,3.7358532029447314e-4
Rowan,North Carolina,24,142088,58,4.081977366139294e-4
Rutherford,North Carolina,5,67029,28,4.177296394098077e-4
Sampson,North Carolina,1,63531,29,4.5647006972973826e-4
Scotland,North Carolina,2,34823,22,6.317663613129254e-4
Stanly,North Carolina,5,62806,23,3.662070502818202e-4
Stokes,North Carolina,0,45591,10,2.1934153670680618e-4
Surry,North Carolina,2,71783,39,5.43304124932087e-4
Swain,North Carolina,0,14271,12,8.408660920748371e-4
Transylvania,North Carolina,5,34385,27,7.852261160389705e-4
Tyrrell,North Carolina,0,4016,1,2.49003984063745e-4
Union,North Carolina,42,239859,152,6.337056353941274e-4
Vance,North Carolina,4,44535,16,3.592679914673852e-4
Wake,North Carolina,192,1111761,908,8.167222991272404e-4
Warren,North Carolina,0,19731,1,5.068166844052506e-5
Washington,North Carolina,2,11580,4,3.454231433506045e-4
Watauga,North Carolina,5,56177,41,7.298360539010627e-4
Wayne,North Carolina,4,123131,58,4.71043035466292e-4
Wilkes,North Carolina,2,68412,28,4.092849207741332e-4
Wilson,North Carolina,15,81801,37,4.523172088360778e-4
Yadkin,North Carolina,3,37667,11,2.920328138689038e-4
Yancey,North Carolina,0,18069,12,6.641208699983397e-4
Adams,North Dakota,0,2216,NA,NA
Barnes,North Dakota,2,10415,10,9.601536245799327e-4
Benson,North Dakota,0,6832,1,1.4637002341920375e-4
Billings,North Dakota,0,928,0,0
Bottineau,North Dakota,0,6282,2,3.183699458771092e-4
Bowman,North Dakota,0,3024,1,3.3068783068783067e-4
Burke,North Dakota,0,2115,1,4.7281323877068556e-4
Burleigh,North Dakota,30,95626,100,0.00104574069813649
Cass,North Dakota,31,181923,180,9.894295938391517e-4
Cavalier,North Dakota,0,3762,1,2.658160552897395e-4
Dickey,North Dakota,0,4872,4,8.210180623973727e-4
Divide,North Dakota,1,2264,1,4.4169611307420494e-4
Dunn,North Dakota,1,4424,1,2.260397830018083e-4
Eddy,North Dakota,0,2287,1,4.3725404459991256e-4
Emmons,North Dakota,0,3241,1,3.08546744831842e-4
Foster,North Dakota,1,3210,3,9.345794392523365e-4
Golden Valley,North Dakota,0,1761,0,0
Grand Forks,North Dakota,3,69451,91,0.0013102763099163439
Grant,North Dakota,1,2274,1,4.3975373790677223e-4
Griggs,North Dakota,0,2231,1,4.4822949350067237e-4
Hettinger,North Dakota,0,2499,1,4.0016006402561027e-4
Kidder,North Dakota,0,2480,1,4.032258064516129e-4
LaMoure,North Dakota,0,4046,1,2.4715768660405336e-4
Logan,North Dakota,0,1850,1,5.405405405405405e-4
McHenry,North Dakota,1,5745,1,1.7406440382941688e-4
McIntosh,North Dakota,1,2497,2,8.009611533840609e-4
McKenzie,North Dakota,1,15024,1,6.6560170394036215e-005
McLean,North Dakota,2,9450,2,2.1164021164021165e-4
Mercer,North Dakota,0,8187,6,7.328691828508611e-4
Morton,North Dakota,14,31364,15,4.782553245759469e-4
Mountrail,North Dakota,5,10545,3,2.844950213371266e-4
Nelson,North Dakota,0,2879,1,3.473428273706148e-4
Oliver,North Dakota,1,1959,0,0
Pembina,North Dakota,0,6801,2,2.9407440082340834e-4
Pierce,North Dakota,2,3975,4,0.0010062893081761006
Ramsey,North Dakota,3,11519,11,9.549440055560378e-4
Ransom,North Dakota,0,5218,3,5.749329244921426e-4
Renville,North Dakota,0,2327,1,4.297378599054577e-4
Richland,North Dakota,0,16177,8,4.945292699511652e-4
Rolette,North Dakota,0,14176,7,4.937923250564334e-4
Sargent,North Dakota,0,3898,1,2.565418163160595e-4
Sheridan,North Dakota,0,1315,0,0
Sioux,North Dakota,1,4230,1,2.3640661938534278e-4
Slope,North Dakota,0,750,0,0
Stark,North Dakota,12,31489,18,5.71628187621074e-4
Steele,North Dakota,0,1890,0,0
Stutsman,North Dakota,0,20704,16,7.727975270479134e-4
Towner,North Dakota,0,2189,1,4.5682960255824577e-4
Traill,North Dakota,0,8036,2,2.4888003982080636e-4
Walsh,North Dakota,1,10641,5,4.6988065031482005e-4
Ward,North Dakota,9,67641,49,7.244127082686536e-4
Wells,North Dakota,0,3834,1,2.608242044861763e-4
Williams,North Dakota,3,37589,18,4.7886349729974197e-4
Adams,Ohio,0,27698,12,4.3324427756516714e-4
Allen,Ohio,5,102351,68,6.643804164101963e-4
Ashland,Ohio,2,53484,26,4.861266920948321e-4
